model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,slovenia,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,6.920655827027028e-13,7.092242335135137e-13,7.263828843243242e-13,7.435415351351353e-13,7.607001859459459e-13,7.778588367567566e-13,7.950174875675675e-13,8.121761383783785e-13,8.29334789189189e-13,8.464934399999999e-13,8.636520908108109e-13,8.808107416216216e-13,8.979693924324324e-13,9.151280432432433e-13,9.322866940540539e-13,9.494453448648649e-13,9.666039956756759e-13,9.837626464864865e-13,1.0009212972972973e-12,1.0180799481081083e-12,1.0352385989189191e-12,1.05239724972973e-12,1.069555900540541e-12,1.0867145513513517e-12,1.1038732021621621e-12,1.119924843243309e-12,1.136013384648779e-12,1.1521388263785717e-12,1.1683011684326876e-12,1.1845004108111265e-12,1.2007365535138883e-12,1.2170095965409727e-12,1.23331953989238e-12,1.2496663835681105e-12,1.2660501275681635e-12,1.2824707718925388e-12,1.2989283165412376e-12,1.3154227615142582e-12,1.3319541068116025e-12,1.3485223524332688e-12,1.365127498379258e-12,1.3817695446495698e-12,1.3984484912442039e-12,1.4151643381631606e-12,1.4319170854064398e-12,1.4487067329740416e-12,1.4655332808659654e-12,1.482396729082212e-12,1.499297077622781e-12,1.5162343264876718e-12,1.5332084756768856e-12,1.5502195251904213e-12,1.5672674750282788e-12,1.5843523251904593e-12,1.6014740756769615e-12,1.6186327264877866e-12,1.6357913772986114e-12,1.6529500281094359e-12,1.6701086789202606e-12,1.687267329731085e-12,1.7044259805419091e-12
PD22,baseline,slovenia,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,1.771152328431373e-13,1.8150651960784313e-13,1.8589780637254907e-13,1.9028909313725493e-13,1.9468037990196084e-13,1.9907166666666667e-13,2.0346295343137258e-13,2.0785424019607847e-13,2.122455269607843e-13,2.1663681372549022e-13,2.210281004901961e-13,2.25419387254902e-13,2.2981067401960785e-13,2.342019607843138e-13,2.385932475490196e-13,2.4298453431372556e-13,2.473758210784314e-13,2.5176710784313733e-13,2.5615839460784317e-13,2.6026637254903455e-13,2.6438379411767653e-13,2.6851065931376936e-13,2.726469681373128e-13,2.7679272058830686e-13,2.809479166667516e-13,2.8511255637264704e-13,2.8928663970599315e-13,2.9347016666679e-13,2.976631372550374e-13,3.0186555147073537e-13,3.060774093138841e-13,3.1029871078448346e-13,3.1452945588253336e-13,3.1876964460803384e-13,3.23019276960985e-13,3.272783529413867e-13,3.31546872549239e-13,3.358248357845419e-13,3.4011224264729527e-13,3.444090931374994e-13,3.4871538725515395e-13,3.5303112500025905e-13,3.5735630637281476e-13,3.6169093137282095e-13,3.6603500000027774e-13,3.70388512255185e-13,3.7475146813754266e-13,3.7912386764735104e-13,3.8350571078460987e-13,3.878969975493192e-13,3.922882843140283e-13,3.966795710787375e-13,4.0107085784344704e-13,4.0546214460815626e-13,4.098534313728655e-13,4.142447181375747e-13,4.1863600490228387e-13,4.230272916669934e-13,4.274185784317026e-13,4.3180986519641177e-13,4.36201151961121e-13
PD22,baseline,slovenia,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,slovenia,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,5.976266074074072e-13,6.223619337962962e-13,6.476088094907409e-13,6.733672344907407e-13,6.996372087962962e-13,7.264187324074076e-13,7.537118053240745e-13,7.81516427546296e-13,8.098325990740742e-13,8.386603199074075e-13,8.679995900462965e-13,8.97850409490741e-13,9.282127782407409e-13,9.590866962962966e-13,9.904721636574074e-13,1.0223691803240738e-12,1.0547777462962962e-12,1.0876978615740746e-12,1.1211295261574072e-12,1.1550727400462966e-12,1.1895275032407406e-12,1.2244938157407405e-12,1.2599716775462967e-12,1.295961088657401e-12,1.332462049074062e-12,1.3694745587962772e-12,1.4069986178240484e-12,1.4450342261573745e-12,1.483581383796256e-12,1.5226400907406934e-12,1.562210346990686e-12,1.6022921525462345e-12,1.6428855074073373e-12,1.6839904115739958e-12,1.7256068650462101e-12,1.7677348678239791e-12,1.8103744199073034e-12,1.8535255212961832e-12,1.8971881719906176e-12,1.941362371990609e-12,1.9860481212961547e-12,2.031245419907256e-12,2.0769542678239137e-12,2.123174665046125e-12,2.1699066115738918e-12,2.2171501074072147e-12,2.264905152546093e-12,2.3131717469905256e-12,2.3619498907405148e-12,2.4112395837960568e-12,2.4610408261571565e-12,2.511353617823812e-12,2.5621779587960217e-12,2.613513849073787e-12,2.6653612886571075e-12,2.7177202775459828e-12,2.770590815740415e-12,2.8239729032404015e-12,2.877866540045942e-12,2.9322717261570413e-12,2.987188461573693e-12
