model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,iraq,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0056633418179632,-0.01132668363601,-0.0169900254541466,-0.0226533672723787,-0.0283167090907122,-0.033980050909153,-0.039643392727707,-0.0453067345463796,-0.0509700763651773,-0.0566334181841057,-0.0622967600031706,-0.0679601018223782,-0.0736234436417341,-0.0792867854612443,-0.0849501272809143,-0.0906134691007503,-0.0962768109207584,-0.101940152740944,-0.1076034945613131,-0.1132668363818719,-0.1189301782026259,-0.1245935200235814,-0.1302568618447435,-0.1359202036661186,-0.1415835454877126,-0.1472468873093066,-0.1529102291309008,-0.1585735709524948,-0.1642369127740889,-0.1699002545956829
PD22,baseline,iraq,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,iraq,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0015845,0.0024034,0.0023073,0.002735,0.0023609,0.0020948,0.0019676,0.0018693,0.0018755999999999,0.0017678,0.0016497,0.001741,0.0022145999999999,0.0021518,0.0022930999999999,0.0033818,0.0022654999999999,0.0022985,0.0014481,0.0013691,0.0018716,0.0019977,0.001893,0.0026311,0.0026248,0.0011901,0.001231,0.001353,0.0009895,0.002128,0.0021908727272727,0.0022537454545454,0.0023166181818181,0.0023794909090909,0.0024423636363636,0.0025052363636363,0.002568109090909,0.0026309818181818,0.0026938545454545,0.0027567272727272,0.0028196,0.0028206449999999,0.00282169,0.002822735,0.0028237799999999,0.002824825,0.00282587,0.0028269149999999,0.00282796,0.002829005,0.0028300499999999,0.002831095,0.00283214,0.002833185,0.00283423,0.002835275,0.00283632,0.002837365,0.00283841,0.002839455,0.0028405
PD22,baseline,iraq,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,4.11e-05,6.23e-05,5.98e-05,7.09e-05,6.12e-05,5.43e-05,5.1e-05,4.85e-05,4.86e-05,4.58e-05,4.28e-05,4.51e-05,5.74e-05,5.58e-05,5.95e-05,8.77e-05,5.87e-05,5.96e-05,3.75e-05,3.55e-05,4.85e-05,5.18e-05,4.91e-05,6.819999999999999e-05,6.8e-05,3.09e-05,3.19e-05,3.51e-05,2.57e-05,5.52e-05,5.682727272727273e-05,5.8454545454545456e-05,6.008181818181818e-05,6.170909090909091e-05,6.333636363636363e-05,6.496363636363637e-05,6.659090909090909e-05,6.821818181818182e-05,6.984545454545455e-05,7.147272727272728e-05,7.31e-05,7.3125e-05,7.315e-05,7.3175e-05,7.32e-05,7.3225e-05,7.325e-05,7.3275e-05,7.33e-05,7.332500000000001e-05,7.335e-05,7.3375e-05,7.34e-05,7.3425e-05,7.345e-05,7.3475e-05,7.35e-05,7.3525e-05,7.355e-05,7.3575e-05,7.36e-05
PD22,baseline,iraq,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.001044,0.0008788,0.0009946,0.0011252,0.0009605,0.0008746,0.0009817,0.0007624,0.0008108,0.0006413,0.0004645,0.0006621,0.0012153,0.0010488,0.0009718,0.0011586,0.0010909,0.0010873,0.0006291,0.0007071,0.0011708,0.0011440999999999,0.0012207,0.0016438,0.0018442,0.0008662,0.0009832999999999,0.000934,0.0006514,0.0017236,0.0017129454545454,0.0017022909090909,0.0016916363636363,0.0016809818181818,0.0016703272727272,0.0016596727272727,0.0016490181818181,0.0016383636363636,0.001627709090909,0.0016170545454545,0.0016064,0.00163256,0.00165872,0.00168488,0.00171104,0.0017372,0.0017633599999999,0.00178952,0.0018156799999999,0.00184184,0.0018679999999999,0.0018941599999999,0.0019203199999999,0.0019464799999999,0.00197264,0.0019988,0.0020249599999999,0.00205112,0.00207728,0.00210344,0.0021295999999999
PD22,baseline,iraq,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,iraq,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.125543,0.081644,0.097001,0.115676,0.1055194999999999,0.0942791,0.08167,0.0950489,0.098577,0.094854,0.101415,0.099177,0.1021066,0.093428,0.087849,0.0984189999999999,0.0987069999999999,0.105642,0.1203039,0.154529,0.157888,0.162362,0.163845,0.1476743999999999,0.1525343,0.1200427,0.1222039,0.1244509999999999,0.1267585,0.1291352,0.1325792,0.1360232,0.1394672,0.1429112,0.1463552,0.1497992,0.1532432,0.1566872,0.1601312,0.1635752,0.1670192,0.170318515,0.17361783,0.176917145,0.18021646,0.183515775,0.18681509,0.190114405,0.19341372,0.196713035,0.20001235,0.203311665,0.20661098,0.209910295,0.21320961,0.216508925,0.21980824,0.223107555,0.22640687,0.229706185,0.2330055
PD22,baseline,iraq,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,iraq,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0066033,0.0034468,0.003996,0.0045923,0.0043495999999999,0.0039612,0.0035872,0.0040708,0.0042733,0.0042422,0.0045591,0.0046367,0.0048688,0.0041822,0.0041817,0.0050038,0.0057166,0.0059588,0.0057161,0.0068495,0.0071338,0.007385,0.0074696999999999,0.0068029,0.0067225,0.0058422,0.0059393,0.0061489,0.0063367,0.0063644,0.0065833818181818,0.0068023636363636,0.0070213454545454,0.0072403272727272,0.007459309090909,0.0076782909090909,0.0078972727272727,0.0081162545454545,0.0083352363636363,0.0085542181818181,0.0087731999999999,0.0089763199999999,0.0091794399999999,0.0093825599999999,0.00958568,0.0097887999999999,0.0099919199999999,0.0101950399999999,0.0103981599999999,0.01060128,0.0108043999999999,0.01100752,0.01121064,0.0114137599999999,0.01161688,0.0118199999999999,0.0120231199999999,0.01222624,0.0124293599999999,0.01263248,0.0128355999999999
PD22,baseline,iraq,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0001205,3.810000000000001e-05,5.03e-05,5.61e-05,5.59e-05,5.12e-05,4.730000000000001e-05,5.59e-05,5.8500000000000006e-05,6.110000000000001e-05,6.419999999999999e-05,7.17e-05,7.75e-05,6.65e-05,7.46e-05,9.14e-05,9.27e-05,9.6e-05,8.55e-05,0.0001102,0.0001184,0.0001245,0.0001255,0.0001293,0.0001219,9.94e-05,0.0001010999999999,0.000107,0.0001128,0.000111,0.0001142,0.0001174,0.0001206,0.0001238,0.000127,0.0001302,0.0001334,0.0001366,0.0001398,0.000143,0.0001462,0.00015064,0.00015508,0.00015952,0.00016396,0.0001684,0.00017284,0.00017728,0.00018172,0.00018616,0.0001906,0.00019504,0.00019948,0.00020392,0.00020836,0.0002128,0.00021724,0.00022168,0.00022612,0.00023056,0.000235
