model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,ecuador,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,13611.6008,14014.798,12740.3989,12189.6002,11393.9994,12038.3981,12596.3981,12658.2581,13644.2285,15490.0798,15480.113574588077,15668.204338246756,15856.295101905436,16044.385865564116,16232.476629222796,16420.567392881476,16608.658156540158,16796.748920198836,16984.839683857517,17172.930447516195,17361.021211174877,17549.111974833555,17737.202738492237,17925.293502150915,18113.3842658096,18301.475029468274,18489.56579312696,18677.656556785638,18865.74732044432,19053.838084102998,19241.92884776168,19430.019611420357,19618.110375079035,19806.201138737717,19994.291902396395,20182.38266605508,20370.473429713755,20558.564193372436,20746.654957031114,20934.7457206898,21122.836484348474
PD22,baseline,ecuador,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,1083.5983,1080.0018,1364.3986,1501.1981,1900.7988,1879.1991,1641.5982,1379.0733,1492.1378,1368.8324,1367.9517013576635,1384.5729670167818,1401.1942326759004,1417.815498335019,1434.4367639941372,1451.0580296532555,1467.679295312374,1484.3005609714924,1500.921826630611,1517.5430922897292,1534.1643579488475,1550.785623607966,1567.4068892670844,1584.028154926203,1600.6494205853212,1617.2706862444395,1633.891951903558,1650.5132175626763,1667.1344832217949,1683.7557488809132,1700.3770145400315,1716.99828019915,1733.6195458582683,1750.2408115173869,1766.8620771765054,1783.4833428356235,1800.104608494742,1816.7258741538608,1833.3471398129789,1849.9684054720972,1866.589671131216
PD22,baseline,ecuador,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ecuador,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,ecuador,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,1645.2,1818.0,1839.6,1850.4,1879.2,2509.2000000000003,2628.0,3892.0536,4947.4152,6036.9876,6033.103438006814,6106.4085224571845,6179.713606907555,6253.0186913579255,6326.323775808297,6399.628860258667,6472.933944709038,6546.239029159408,6619.544113609779,6692.849198060149,6766.15428251052,6839.459366960891,6912.764451411262,6986.069535861632,7059.374620312003,7132.679704762373,7205.984789212744,7279.289873663114,7352.594958113485,7425.900042563856,7499.205127014226,7572.510211464597,7645.815295914967,7719.120380365338,7792.425464815709,7865.73054926608,7939.03563371645,8012.340718166821,8085.645802617191,8158.950887067562,8232.255971517932
PD22,baseline,ecuador,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,29444.4,37954.8,42217.2,37890.0,39366.0,44636.4,54370.8,68424.984,69493.392,82748.2176,82694.97788789493,83699.76131320553,84704.54473851614,85709.32816382674,86714.11158913735,87718.89501444795,88723.67843975854,89728.46186506916,90733.24529037975,91738.02871569037,92742.81214100096,93747.59556631156,94752.37899162216,95757.16241693276,96761.94584224338,97766.72926755398,98771.51269286458,99776.2961181752,100781.0795434858,101785.8629687964,102790.646394107,103795.4298194176,104800.2132447282,105804.9966700388,106809.78009534942,107814.56352066,108819.3469459706,109824.13037128122,110828.91379659182,111833.69722190245,112838.48064721304
PD22,baseline,ecuador,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,1645.1989,1818.0007,1839.6004,1850.3981,1879.1991,2509.1995,2627.9999,3892.0535,4947.416,6036.9888,6033.104637234741,6106.409736256303,6179.714835277865,6253.019934299427,6326.325033320989,6399.630132342551,6472.935231364113,6546.240330385675,6619.545429407237,6692.850528428799,6766.155627450361,6839.460726471923,6912.765825493485,6986.070924515047,7059.37602353661,7132.681122558171,7205.986221579733,7279.291320601295,7352.596419622858,7425.901518644419,7499.206617665981,7572.511716687543,7645.816815709106,7719.121914730667,7792.42701375223,7865.732112773791,7939.037211795354,8012.342310816915,8085.647409838478,8158.95250886004,8232.257607881602
PD22,baseline,ecuador,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,29444.3995,37954.799,42217.2001,37889.9999,39366.0018,44636.4001,54370.798,68424.9854,69493.394,82748.2166,82694.97688853832,83699.76030170626,84704.54371487422,85709.32712804216,86714.1105412101,87718.89395437806,88723.677367546,89728.46078071394,90733.2441938819,91738.02760704984,92742.81102021778,93747.59443338572,94752.37784655367,95757.16125972162,96761.94467288956,97766.72808605753,98771.51149922544,99776.2949123934,100781.07832556136,101785.86173872928,102790.64515189725,103795.4285650652,104800.21197823311,105804.99539140108,106809.77880456902,107814.56221773697,108819.34563090492,109824.12904407286,110828.9124572408,111833.69587040876,112838.4792835767
PD22,baseline,ecuador,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,8.64,34.56,77.75999999999999,84.24,80.95248,82.2528,81.25271999999998,81.20044248217519,82.18706658944059,83.173690696706,84.1603148039714,85.14693891123682,86.13356301850222,87.12018712576763,88.10681123303303,89.09343534029844,90.08005944756384,91.06668355482924,92.05330766209464,93.03993176936008,94.02655587662548,95.01317998389086,95.99980409115628,96.98642819842168,97.97305230568708,98.95967641295248,99.9463005202179,100.93292462748332,101.91954873474872,102.90617284201412,103.89279694927951,104.87942105654491,105.86604516381034,106.85266927107574,107.83929337834115,108.82591748560657,109.81254159287197,110.79916570013737
PD22,baseline,ecuador,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,8.63904,34.5612,77.75891999999999,84.24012,80.95176,82.25304,81.25319999999999,81.20092217334604,82.18755210908797,83.1741820448299,84.16081198057185,85.14744191631378,86.13407185205571,87.12070178779764,88.10733172353959,89.09396165928152,90.08059159502344,91.06722153076538,92.05385146650733,93.04048140224926,94.0271113379912,95.01374127373312,96.00037120947503,96.987001145217,97.97363108095892,98.96026101670084,99.9468909524428,100.93352088818472,101.92015082392666,102.9067807596686,103.89341069541052,104.88004063115248,105.8666705668944,106.85330050263632,107.83993043837826,108.8265603741202,109.81319030986214,110.79982024560408
