model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,cameroon,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,Losses,DISTLOSS,TJ,2087.999,3927.5994,5767.1998,6764.3992,7610.4008,5986.8016,6094.8001,6444.0002,6498.1522,6709.7154,6928.133012817916,7166.973150444879,7405.813288071843,7644.653425698806,7883.49356332577,8122.333700952733,8361.173838579696,8600.013976206661,8838.854113833624,9077.694251460587,9316.53438908755,9555.374526714511,9794.214664341478,10033.05480196844,10271.894939595404,10510.735077222367,10749.575214849332,10988.415352476297,11227.255490103258,11466.09562773022,11704.935765357186,11943.775902984147,12182.616040611112,12421.456178238075,12660.296315865038,12899.136453492005,13137.976591118966,13376.81672874593,13615.656866372894,13854.497003999855,14093.33714162682
PD22,baseline,cameroon,Electric Power,Electricity and Heat,Electricity,ELECTR,Energy industry own use and Losses,"Own use in electricity, CHP and heat plants",EPOWERPLT,TJ,1645.1989,190.8008,147.6014,187.2002,216.0012,838.8003,792.0002,849.9246,902.4312,891.4158,920.4335599878788,952.1645440404734,983.8955280930682,1015.6265121456628,1047.3574961982576,1079.0884802508524,1110.8194643034471,1142.550448356042,1174.2814324086366,1206.0124164612314,1237.743400513826,1269.474384566421,1301.2053686190156,1332.9363526716106,1364.6673367242051,1396.3983207768,1428.1293048293946,1459.8602888819896,1491.591272934584,1523.3222569871791,1555.0532410397736,1586.7842250923686,1618.5152091449631,1650.246193197558,1681.9771772501529,1713.7081613027476,1745.4391453553424,1777.170129407937,1808.901113460532,1840.6320975131264,1872.3630815657211
PD22,baseline,cameroon,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Autoproducer electricity plants,AUTOELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,cameroon,Electric Power,Electricity and Heat,Electricity,ELECTR,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,cameroon,Electric Power,Electricity and Heat,Hydro,HYDRO,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,15336.0,15829.2,15321.6,15742.8,15742.8,15692.4,17107.2,18323.64,18082.8,18826.002,19438.834314131436,20108.967790827846,20779.101267524264,21449.23474422068,22119.36822091709,22789.50169761351,23459.63517430993,24129.76865100634,24799.90212770276,25470.03560439917,26140.169081095588,26810.302557792,27480.43603448842,28150.569511184836,28820.702987881246,29490.836464577664,30160.96994127408,30831.10341797049,31501.23689466691,32171.37037136333,32841.50384805974,33511.63732475616,34181.77080145257,34851.904278148984,35522.0377548454,36192.17123154182,36862.30470823823,37532.438184934654,38202.57166163107,38872.70513832748,39542.838615023895
PD22,baseline,cameroon,Electric Power,Electricity and Heat,Hydro,HYDRO,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,15336.0014,15829.198,15321.5988,15742.7992,15742.7992,15692.3985,17107.202,18323.6391,18082.8018,18826.0006,19438.832868558016,20108.9662954198,20779.099722281582,21449.23314914337,22119.36657600515,22789.50000286693,23459.63342972872,24129.766856590504,24799.900283452287,25470.03371031407,26140.167137175853,26810.30056403764,27480.433990899422,28150.567417761205,28820.70084462299,29490.83427148477,30160.967698346554,30831.10112520834,31501.234552070124,32171.367978931907,32841.50140579369,33511.63483265547,34181.76825951726,34851.901686379046,35522.035113240825,36192.16854010261,36862.3019669644,37532.43539382618,38202.56882068796,38872.70224754974,39542.83567441153
PD22,baseline,cameroon,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,2.16,6.48,8.64,10.8,17.28,21.6,25.92,34.4088,42.11136,42.11136,43.48218755010978,44.98119047623368,46.48019340235758,47.97919632848148,49.47819925460538,50.97720218072928,52.47620510685318,53.97520803297708,55.47421095910098,56.97321388522488,58.47221681134878,59.97121973747268,61.47022266359657,62.96922558972048,64.46822851584437,65.96723144196828,67.46623436809217,68.96523729421608,70.46424022033997,71.96324314646388,73.46224607258777,74.96124899871168,76.46025192483557,77.95925485095947,79.45825777708338,80.95726070320728,82.45626362933118,83.95526655545507,85.45426948157898,86.95327240770288,88.45227533382678
PD22,baseline,cameroon,Electric Power,Electricity and Heat,Utility solar photovoltaics,SOLARPV,Transformation processes,Main activity producer electricity plants,MAINELEC,TJ,2.16036,6.48114,8.63904,10.799459999999998,17.2806,21.59886,25.91964,34.40796,42.1125,42.1125,43.4833646598922,44.9824081656444,46.48145167139659,47.98049517714879,49.47953868290098,50.97858218865318,52.477625694405376,53.976669200157566,55.47571270590976,56.97475621166196,58.47379971741415,59.97284322316635,61.47188672891854,62.97093023467073,64.46997374042293,65.96901724617513,67.46806075192733,68.96710425767952,70.4661477634317,71.9651912691839,73.4642347749361,74.9632782806883,76.4623217864405,77.96136529219268,79.46040879794488,80.95945230369708,82.45849580944926,83.95753931520147,85.45658282095366,86.95562632670585,88.45466983245805
PD22,baseline,cameroon,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -autoproducer electricity plants,ELAUTOE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,cameroon,Electric Power,Electricity and Heat,Offshore wind energy,OFFSHORE,Electricity output,Electricity output -main activity producer electricity plants,ELMAINE,TJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
