model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,mexico,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mexico,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mexico,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mexico,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mexico,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mexico,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mexico,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,156314.68666666668,159440.9804,162567.27413333335,165693.56786666668,168819.8616,171946.15533333333,175072.44906666668,178198.7428,181325.03653333333,184451.3302666667,187577.624,190703.91773333334,193830.21146666666,196956.50519999999,200082.79893333334,203209.09266666666,206335.38640000002,209461.68013333334,212587.97386666667,215714.2676,218840.56133333335,221966.85506666667,225093.1488,228219.44253333335,231345.73626666664,234472.03,234472.03000050003,237598.32373384002,240724.61746718,243850.91120052003,246977.20493386002,250103.49866720004,244788.79932052203,239265.68039162134,233534.14188049803,227594.18378715203,221445.80611158337,215089.008853792,208523.792013778,201750.15559154135,194768.09958708202,187577.6240004,180178.72883149533,172571.414080368,164755.679747018,156731.52583144532,148498.95233365003,140057.959253632,131408.54659139132,122550.71434692801,113484.462520242,104209.79111133334,94726.700120202,85035.18954684798,75135.25939127133,65026.90965347199,54710.14033344997,44184.95143120532,33451.342946737976,22509.31488004796,11358.86723113528
PD22,baseline,mexico,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,mexico,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.43979166666666664,0.4485875,0.45738333333333336,0.4661791666666666,0.474975,0.48377083333333337,0.4925666666666666,0.5013624999999999,0.5101583333333333,0.5189541666666666,0.5277499999999999,0.5365458333333333,0.5453416666666666,0.5541375,0.5629333333333333,0.5717291666666666,0.580525,0.5893208333333333,0.5981166666666666,0.6069125,0.6157083333333333,0.6245041666666666,0.6333,0.6333000000015252,0.6420958333348797,0.6508916666682342,0.6596875000015887,0.6684833333349433,0.6772791666682978,0.6860750000016523,0.6948708333350068,0.7036666666683613,0.7124625000017158,0.7212583333350704,0.7300541666684248,0.7388500000017794,0.7476458333351339,0.7564416666684884,0.765237500001843,0.7740333333351974,0.782829166668552,0.7916250000019065,0.800420833335261,0.8092166666686155,0.81801250000197,0.8268083333353246,0.8356041666686791,0.8444000000020336,0.8531958333353881,0.8619916666687426,0.8707875000020971,0.8795833333354517,0.8883791666688061,0.8971750000021607,0.9059708333355152,0.9147666666688697,0.9235625000022242,0.9323583333355787,0.9411541666689333,0.9499500000022878,0.9587458333356423
PD22,baseline,mexico,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.3858695652173913,0.39358695652173914,0.401304347826087,0.40902173913043477,0.4167391304347826,0.42445652173913045,0.43217391304347824,0.4398913043478261,0.4476086956521739,0.4553260869565217,0.46304347826086956,0.4707608695652174,0.47847826086956524,0.48619565217391303,0.49391304347826087,0.5016304347826087,0.5093478260869565,0.5170652173913044,0.5247826086956522,0.5325,0.5325000000000923,0.5402173913044415,0.5479347826087907,0.5556521739131398,0.5633695652174889,0.5710869565218382,0.5788043478261873,0.5865217391305365,0.5942391304348856,0.6019565217392348,0.609673913043584,0.6173913043479331,0.6251086956522823,0.6328260869566315,0.6405434782609806,0.6482608695653298,0.6559782608696789,0.6636956521740282,0.6714130434783773,0.6791304347827264,0.6868478260870756,0.6945652173914247,0.702282608695774,0.7100000000001231,0.7177173913044722,0.7254347826088214,0.7331521739131706,0.7408695652175198,0.7485869565218689,0.7563043478262181,0.7640217391305673,0.7717391304349164,0.7794565217392656,0.7871739130436147,0.794891304347964,0.8026086956523131,0.8103260869566622,0.8180434782610114,0.8257608695653605,0.8334782608697098,0.8411956521740589
