model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,nepal,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,1.2916302381756759e-12,1.3236541283783786e-12,1.3556780185810813e-12,1.387701908783784e-12,1.4197257989864867e-12,1.4517496891891892e-12,1.4837735793918921e-12,1.5157974695945946e-12,1.5478213597972971e-12,1.5798452500000003e-12,1.6118691402027026e-12,1.6438930304054057e-12,1.6759169206081086e-12,1.7079408108108107e-12,1.7399647010135138e-12,1.7719885912162161e-12,1.8040124814189195e-12,1.8360363716216218e-12,1.868060261824324e-12,1.900084152027027e-12,1.9321080422297295e-12,1.9641319324324326e-12,1.996155822635135e-12,2.028179712837838e-12,2.06020360304054e-12,2.0901614358110847e-12,2.120188137162703e-12,2.150283707095398e-12,2.180448145609168e-12,2.210681452704013e-12,2.2409836283799344e-12,2.2713546726369295e-12,2.301794585475e-12,2.3323033668941458e-12,2.362881016894365e-12,2.39352753547566e-12,2.424242922638029e-12,2.4550271783814722e-12,2.4858803027059898e-12,2.5168022956115807e-12,2.547793157098247e-12,2.5788528871659856e-12,2.6099814858147986e-12,2.6411789530446855e-12,2.6724452888556453e-12,2.7037804932476785e-12,2.735184566220786e-12,2.766657507774965e-12,2.798199317910218e-12,2.829809996626543e-12,2.861489543923941e-12,2.8932379598024125e-12,2.9250552442619557e-12,2.9569413973025706e-12,2.9888964189242585e-12,3.0209203091270186e-12,3.0529441993297786e-12,3.0849680895325383e-12,3.1169919797352988e-12,3.1490158699380584e-12,3.1810397601408185e-12
PD22,baseline,nepal,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nepal,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nepal,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nepal,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nepal,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nepal,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nepal,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nepal,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,nepal,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,1.655938965277778e-12,1.707579829444444e-12,1.7597666133333333e-12,1.8124993169444447e-12,1.8657779402777777e-12,1.919602483333333e-12,1.9739729461111113e-12,2.0288893286111105e-12,2.084351630833333e-12,2.1403598527777774e-12,2.1969139944444446e-12,2.2540140558333337e-12,2.311660036944444e-12,2.3698519377777775e-12,2.4285897583333322e-12,2.4878734986111116e-12,2.5477031586111113e-12,2.6080787383333328e-12,2.6690002377777774e-12,2.730467656944444e-12,2.7924809958333333e-12,2.855040254444445e-12,2.9181454327777776e-12,2.979715194445436e-12,3.0418820563908608e-12,3.104646018614053e-12,3.1680070811150113e-12,3.231965243893735e-12,3.2965205069502244e-12,3.361672870284481e-12,3.4274223338965025e-12,3.4937688977862883e-12,3.5607125619538378e-12,3.628253326399153e-12,3.696391191122231e-12,3.7651261561230715e-12,3.834458221401677e-12,3.904387386958045e-12,3.9749136527921746e-12,4.0460370189040665e-12,4.11775748529372e-12,4.190075051961134e-12,4.262989718906312e-12,4.3365014861292494e-12,4.4106103536299465e-12,4.4853163214084016e-12,4.560619389464619e-12,4.636519557798596e-12,4.7130168264103315e-12,4.790111195299827e-12,4.867802664467075e-12,4.946091233912088e-12,5.024976903634859e-12,5.104459673635384e-12,5.184488363358135e-12,5.265062972803112e-12,5.346183501970316e-12,5.427849950859744e-12,5.5100623194714e-12,5.59282060780528e-12,5.676124815861389e-12
