model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,zimbabwe,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.458236809705454,-2.919780278843291,-4.384630407413482,-5.852787195416042,-7.3242506428509415,-8.79902074971821,-10.277097516017818,-11.758480941749767,-13.243171026914084,-14.73116777151077,-16.222471175539795,-17.717081239001132,-19.214997961894866,-20.71622134422087,-22.220751385979312,-23.728588087170024,-25.23973144779309,-26.75418146784851,-28.271938147336257,-29.793001486256358,-31.317371484608756,-32.84504814239354,-34.37603145961059,-35.91032143626002,-37.44791807234178,-38.985514708423565,-40.52311134450527,-42.060707980587026,-43.598304616668756,-45.135901252750514
PD22,baseline,zimbabwe,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,zimbabwe,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0032115,0.0030764,0.0024156,0.0034384999999999997,0.0048070000000000005,0.0040929,0.004059999999999999,0.0039213,0.0033248,0.004117600000000001,0.0038309999999999998,0.0034606,0.0036959,0.0037751,0.005063,0.0056239,0.005668599999999999,0.0048278999999999996,0.0047457,0.0041413000000000005,0.0037595999999999997,0.0042415000000000005,0.0038611,0.0035141,0.0029311,0.0030971,0.0032472,0.0030854,0.0032625,0.0025388000000000003,0.002790509090909091,0.0030422181818181822,0.003293927272727273,0.0035456363636363637,0.003797345454545455,0.004049054545454546,0.004300763636363636,0.004552472727272727,0.0048041818181818186,0.005055890909090909,0.0053076,0.005283485,0.00525937,0.005235255,0.00521114,0.005187025,0.00516291,0.005138795,0.00511468,0.005090565,0.00506645,0.005042335,0.00501822,0.004994105,0.0049699900000000005,0.004945875000000001,0.00492176,0.004897645,0.00487353,0.004849415,0.0048253
PD22,baseline,zimbabwe,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,8.33e-05,7.98e-05,6.26e-05,8.91e-05,0.0001246,0.0001061,0.0001053,0.0001017,8.62e-05,0.00010680000000000001,9.93e-05,8.97e-05,9.58e-05,9.79e-05,0.0001313,0.00014580000000000002,0.000147,0.0001252,0.000123,0.0001074,9.75e-05,0.00011,0.0001001,9.11e-05,7.6e-05,8.03e-05,8.42e-05,8e-05,8.46e-05,6.58e-05,7.232727272727273e-05,7.885454545454546e-05,8.538181818181818e-05,9.190909090909091e-05,9.843636363636365e-05,0.00010496363636363636,0.0001114909090909091,0.00011801818181818183,0.00012454545454545455,0.0001310727272727273,0.0001376,0.000136975,0.00013635,0.000135725,0.0001351,0.000134475,0.00013385,0.000133225,0.0001326,0.000131975,0.00013135,0.000130725,0.0001301,0.000129475,0.00012885,0.00012822499999999999,0.00012759999999999998,0.00012697499999999998,0.00012634999999999998,0.00012572499999999998,0.00012509999999999998
PD22,baseline,zimbabwe,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0005811,0.000497,0.0001995,0.0005822000000000001,0.0006284,0.0003481,0.0005901,0.0005003,0.0004145,0.0005024,0.0004859,0.000457,0.0003004,0.0003709,0.0006895,0.0004929,0.0006544,0.0005618999999999999,0.0003553,0.0003438,0.0004125,0.00038030000000000003,0.00039190000000000004,0.0003657,0.00035580000000000003,0.00027360000000000004,0.0002686,0.00041339999999999997,0.000423,0.0002854,0.00033674545454545455,0.0003880909090909091,0.0004394363636363636,0.0004907818181818181,0.0005421272727272727,0.0005934727272727272,0.0006448181818181817,0.0006961636363636363,0.000747509090909091,0.0007988545454545455,0.0008502,0.000867315,0.00088443,0.0009015449999999999,0.00091866,0.000935775,0.00095289,0.0009700049999999999,0.00098712,0.001004235,0.0010213499999999999,0.001038465,0.00105558,0.001072695,0.00108981,0.001106925,0.00112404,0.001141155,0.0011582699999999999,0.001175385,0.0011925
PD22,baseline,zimbabwe,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,zimbabwe,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.233403,0.197246,0.219881,0.1582936,0.1630782,0.16893799999999998,0.2011775,0.19982499999999997,0.213338,0.22527809999999998,0.2313685,0.236717,0.213961,0.2050631,0.1987031,0.1986542,0.1918812,0.1940812,0.1925174,0.20763820000000002,0.2257436,0.2338535,0.2360713,0.2382562,0.1934051,0.2132916,0.2121677,0.2112104,0.2146129,0.21836629999999999,0.22665192727272726,0.23493755454545454,0.2432231818181818,0.2515088090909091,0.25979443636363636,0.2680800636363636,0.2763656909090909,0.2846513181818182,0.29293694545454546,0.3012225727272727,0.3095082,0.314548465,0.31958873,0.32462899500000003,0.32966926,0.334709525,0.33974979,0.344790055,0.34983032000000003,0.354870585,0.35991085,0.364951115,0.36999138,0.375031645,0.38007191,0.385112175,0.39015244,0.39519270500000003,0.40023297,0.405273235,0.4103135
PD22,baseline,zimbabwe,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,MtCO2e,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,zimbabwe,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.007605000000000001,0.0065307,0.0072201,0.0052702999999999995,0.0054675,0.0057315,0.006679,0.0066114,0.0069112999999999996,0.0074959,0.0077691,0.008047599999999999,0.007409,0.007105800000000001,0.0069505,0.00697,0.0068381,0.0069337999999999995,0.0068295000000000005,0.0074753,0.008030099999999998,0.0083422,0.0084008,0.008465199999999999,0.006640399999999999,0.0073038999999999995,0.0074281,0.0072092,0.007275299999999999,0.0074455,0.007794854545454546,0.00814420909090909,0.008493563636363636,0.008842918181818182,0.009192272727272726,0.009541627272727272,0.009890981818181818,0.010240336363636363,0.010589690909090909,0.010939045454545453,0.011288399999999999,0.011479389999999999,0.01167038,0.01186137,0.01205236,0.01224335,0.012434339999999999,0.012625329999999999,0.012816319999999999,0.01300731,0.0131983,0.01338929,0.01358028,0.01377127,0.01396226,0.01415325,0.014344240000000001,0.01453523,0.01472622,0.01491721,0.0151082
PD22,baseline,zimbabwe,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0002556,0.0002276,0.00024160000000000002,0.00017749999999999998,0.0001965,0.000213,0.0002243,0.0002205,0.0002342,0.0002421,0.00025509999999999997,0.0002849,0.0002396,0.0002079,0.00020030000000000002,0.00018490000000000002,0.0002042,0.0001895,0.00019559999999999998,0.00026660000000000003,0.0002925,0.0002969,0.0002986,0.0003053,0.00020480000000000002,0.00025879999999999995,0.0002969,0.00021329999999999998,0.00020050000000000002,0.0002398,0.0002448,0.0002498,0.0002548,0.0002598,0.0002648,0.0002698,0.0002748,0.0002798,0.0002848,0.0002898,0.0002948,0.00029941500000000003,0.00030403,0.000308645,0.00031326,0.000317875,0.00032249,0.000327105,0.00033172,0.000336335,0.00034095,0.000345565,0.00035017999999999996,0.000354795,0.00035941,0.00036402499999999997,0.00036864,0.00037325499999999996,0.00037787,0.000382485,0.0003871
