model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,norway,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,norway,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,norway,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,norway,Agriculture,Biochar,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,norway,Forests & Wetlands,Coastal Restoration,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,norway,Agriculture,Cropland Soil Health,Emissions,CO2,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,norway,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,m3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,norway,Agriculture,Improved Rice,Emissions,CH4,Mha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,norway,Forests & Wetlands,Natural Regeneration,Emissions,CO2,Mha,0.013819444444444445,0.014095833333333335,0.014372222222222222,0.014648611111111114,0.014925,0.01520138888888889,0.01547777777777778,0.015754166666666666,0.016030555555555555,0.016306944444444443,0.016583333333333335,0.016859722222222224,0.017136111111111112,0.0174125,0.01768888888888889,0.017965277777777778,0.018241666666666666,0.018518055555555555,0.018794444444444443,0.019070833333333335,0.019347222222222224,0.019623611111111113,0.0199,0.020176388888887346,0.020452777777776193,0.020729166666665036,0.021005555555553883,0.02128194444444273,0.021558333333331577,0.02183472222222042,0.022111111111109267,0.022387499999998114,0.02266388888888696,0.022940277777775804,0.02321666666666465,0.023493055555553498,0.023769444444442345,0.024045833333331188,0.024322222222220035,0.024598611111108882,0.024874999999997725,0.025151388888886572,0.02542777777777542,0.025704166666664266,0.02598055555555311,0.026256944444441956,0.026533333333330803,0.02680972222221965,0.027086111111108493,0.02736249999999734,0.027638888888886187,0.02791527777777503,0.028191666666663878,0.028468055555552724,0.02874444444444157,0.029020833333330415,0.02929722222221926,0.02957361111110811,0.029849999999996955,0.0301263888888858,0.030402777777774646
PD22,baseline,norway,Agriculture,Nitrogen Fertilizer Management,Emissions,N2O,Mha,0.08601449275362319,0.08773478260869566,0.08945507246376812,0.09117536231884059,0.09289565217391305,0.09461594202898552,0.09633623188405797,0.09805652173913045,0.0997768115942029,0.10149710144927537,0.10321739130434783,0.1049376811594203,0.10665797101449276,0.10837826086956523,0.11009855072463769,0.11181884057971014,0.11353913043478261,0.11525942028985507,0.11697971014492754,0.1187,0.12042028985490112,0.12214057970996883,0.12386086956503653,0.12558115942010425,0.12730144927517195,0.12902173913023965,0.13074202898530735,0.13246231884037507,0.13418260869544277,0.13590289855051046,0.13762318840557816,0.1393434782606459,0.14106376811571358,0.14278405797078128,0.144504347825849,0.1462246376809167,0.1479449275359844,0.1496652173910521,0.15138550724611982,0.15310579710118752,0.15482608695625522,0.15654637681132294,0.15826666666639064,0.15998695652145833,0.16170724637652603,0.16342753623159376,0.16514782608666145,0.16686811594172915,0.16858840579679688,0.17030869565186457,0.17202898550693227,0.17374927536199997,0.1754695652170677,0.1771898550721354,0.17891014492720309,0.18063043478227078,0.1823507246373385,0.1840710144924062,0.1857913043474739,0.18751159420254163,0.18923188405760932
