model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,armenia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00126785866666667,0.002535717333333333,0.003803576000000003,0.0050714346666666694,0.006339293333333336,0.007452270653099852,0.008546854156562641,0.009620864197302258,0.010671864054331395,0.011697129916262873,0.012693617437374745,0.013657924493348673,0.01458624972896395,0.015474346452449973,0.016317471391795874,0.017110327787489107,0.017847002254505112,0.018520894804724842,0.019124641380456577,0.01965002821189374,0.02008789727812299,0.020428042125259897,0.020659093279660846,0.02076839249300658,0.02076839249300658,0.02076839249300658,0.02076839249300658,0.02076839249300658,0.02076839249300658,0.02076839249300658
PD22,baseline,armenia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,armenia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,3.71e-05,7.42e-05,0.000109,9.66e-05,7.14e-05,9.760000000000001e-05,0.00012230000000000002,0.00013370000000000002,0.0001266,0.000122,0.00012429999999999999,0.0001375,0.0001451,0.0001429,0.0001463,0.000115,0.0001158,0.0001109,0.0001027,0.0001009,9.35e-05,0.0001093,0.00011600000000000001,0.0001209,0.00012570000000000002,0.0001256,9.32e-05,7.539999999999999e-05,6.52e-05,7.006363636363636e-05,7.492727272727273e-05,7.979090909090908e-05,8.465454545454546e-05,8.951818181818181e-05,9.438181818181818e-05,9.924545454545454e-05,0.0001041090909090909,0.00010897272727272727,0.00011383636363636364,0.0001187,0.000118605,0.00011851,0.000118415,0.00011832,0.000118225,0.00011813,0.000118035,0.00011794,0.00011784500000000001,0.00011775,0.000117655,0.00011756,0.000117465,0.00011737000000000001,0.000117275,0.00011718,0.00011708500000000001,0.00011699,0.00011689500000000001,0.0001168
PD22,baseline,armenia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,9.5e-07,1.9e-06,2.8e-06,2.5e-06,1.9e-06,2.5e-06,3.2000000000000003e-06,3.5e-06,3.3e-06,3.2000000000000003e-06,3.2000000000000003e-06,3.6e-06,3.8e-06,3.7e-06,3.8e-06,3e-06,3e-06,2.8999999999999998e-06,2.7000000000000004e-06,2.6e-06,2.4e-06,2.8e-06,3e-06,3.1e-06,3.3e-06,3.3e-06,2.4e-06,2e-06,1.7e-06,1.8272727272727274e-06,1.9545454545454545e-06,2.081818181818182e-06,2.209090909090909e-06,2.3363636363636363e-06,2.4636363636363635e-06,2.590909090909091e-06,2.718181818181818e-06,2.8454545454545457e-06,2.972727272727273e-06,3.1e-06,3.095e-06,3.09e-06,3.085e-06,3.08e-06,3.075e-06,3.07e-06,3.065e-06,3.06e-06,3.055e-06,3.05e-06,3.045e-06,3.04e-06,3.035e-06,3.0300000000000002e-06,3.025e-06,3.02e-06,3.015e-06,3.01e-06,3.005e-06,3e-06
PD22,baseline,armenia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,4.885e-05,9.77e-05,0.0001043,8.53e-05,8.82e-05,0.00010520000000000001,9.26e-05,0.0001088,9.900000000000001e-05,8.08e-05,0.0001155,0.0001246,0.000105,0.0001386,0.0001256,8.21e-05,0.00013330000000000001,0.00012670000000000002,0.00011630000000000001,0.00010290000000000001,0.0001273,0.0001334,0.0001537,0.000161,0.00016450000000000001,0.00016450000000000001,9.56e-05,9.810000000000001e-05,6.71e-05,7.243636363636364e-05,7.777272727272727e-05,8.31090909090909e-05,8.844545454545455e-05,9.378181818181818e-05,9.911818181818182e-05,0.00010445454545454546,0.0001097909090909091,0.00011512727272727273,0.00012046363636363636,0.0001258,0.000125835,0.00012586999999999999,0.000125905,0.00012594,0.000125975,0.00012601,0.000126045,0.00012608,0.000126115,0.00012615,0.000126185,0.00012622,0.000126255,0.00012629,0.000126325,0.00012636,0.000126395,0.00012643000000000002,0.000126465,0.0001265
PD22,baseline,armenia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,armenia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0,0.013415,0.02683,0.0239849,0.023641500000000003,0.023336,0.0233053,0.0232549,0.021261600000000002,0.021510400000000002,0.0217373,0.0224631,0.0233734,0.0242637,0.025447,0.025536000000000003,0.0262183,0.0274738,0.0277424,0.025538699999999998,0.0247331,0.0248245,0.02613,0.0288216,0.0296644,0.030203900000000002,0.0308638,0.028831600000000002,0.0260156,0.025172999999999997,0.025812845454545454,0.026452690909090908,0.027092536363636364,0.027732381818181818,0.028372227272727275,0.029012072727272728,0.029651918181818185,0.030291763636363638,0.030931609090909095,0.03157145454545455,0.032211300000000005,0.032397440000000007,0.03258358000000001,0.03276972,0.032955860000000003,0.033142000000000005,0.033328140000000006,0.03351428000000001,0.03370042,0.03388656,0.034072700000000004,0.034258840000000006,0.03444498000000001,0.03463112,0.03481726,0.035003400000000004,0.035189540000000005,0.03537568000000001,0.03556182,0.03574796,0.035934100000000004
PD22,baseline,armenia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,armenia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0,0.000624,0.001248,0.0009705,0.000974,0.0009746,0.0009735000000000001,0.0009498999999999999,0.0008797000000000001,0.0009173,0.0009177,0.000944,0.0010041,0.0010542000000000001,0.001075,0.0010807,0.0011549000000000002,0.0012047000000000002,0.0011497,0.0010682,0.0010663,0.0010621,0.0011053,0.0012338,0.0012602,0.0012804000000000001,0.0013311,0.0012557,0.0011508,0.0011459999999999999,0.0011700727272727271,0.0011941454545454544,0.0012182181818181817,0.001242290909090909,0.0012663636363636362,0.0012904363636363635,0.001314509090909091,0.0013385818181818182,0.0013626545454545455,0.0013867272727272728,0.0014108,0.00141978,0.00142876,0.00143774,0.00144672,0.0014557,0.00146468,0.0014736600000000001,0.0014826400000000001,0.0014916200000000001,0.0015006,0.00150958,0.00151856,0.00152754,0.00153652,0.0015455,0.00155448,0.00156346,0.00157244,0.00158142,0.0015904
PD22,baseline,armenia,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0,5.4850000000000005e-05,0.00010970000000000001,4.97e-05,4.880000000000001e-05,4.87e-05,4.78e-05,3.84e-05,3.8100000000000005e-05,4.9500000000000004e-05,4.49e-05,4.44e-05,5.57e-05,6.2e-05,5.41e-05,5.55e-05,7.43e-05,7.97e-05,5.5e-05,5.32e-05,6.32e-05,6.33e-05,6.22e-05,7.78e-05,7.64e-05,7.77e-05,8.999999999999999e-05,8.88e-05,8.42e-05,9.510000000000001e-05,9.42909090909091e-05,9.348181818181819e-05,9.267272727272728e-05,9.186363636363637e-05,9.105454545454546e-05,9.024545454545454e-05,8.943636363636363e-05,8.862727272727272e-05,8.781818181818181e-05,8.70090909090909e-05,8.62e-05,8.695e-05,8.769999999999999e-05,8.845e-05,8.92e-05,8.994999999999999e-05,9.07e-05,9.145e-05,9.22e-05,9.295e-05,9.37e-05,9.445e-05,9.520000000000001e-05,9.595e-05,9.67e-05,9.745000000000001e-05,9.82e-05,9.895e-05,9.970000000000001e-05,0.00010045,0.00010120000000000001
