model,scenario,region,sector,product_long,flow_category,flow_long,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,srilanka,Agriculture,Agroforestry,Emissions,CO2,MtCO2e,9.885224039414416e-13,1.0130312238738736e-12,1.0375400438063063e-12,1.0620488637387386e-12,1.086557683671171e-12,1.1110665036036035e-12,1.1355753235360357e-12,1.1600841434684684e-12,1.1845929634009007e-12,1.2091017833333333e-12,1.2336106032657658e-12,1.2581194231981982e-12,1.2826282431306307e-12,1.307137063063063e-12,1.3316458829954952e-12,1.3561547029279279e-12,1.3806635228603601e-12,1.4051723427927928e-12,1.429681162725225e-12,1.4541899826576577e-12,1.4786988025900902e-12,1.5032076225225222e-12,1.5277164424549549e-12,1.5522252623873876e-12,1.5767340823198198e-12,1.6012429022519792e-12,1.625751722184141e-12,1.6502605421163047e-12,1.6747693620484712e-12,1.6992781819806402e-12,1.723787001912812e-12,1.7482958218449877e-12,1.7728046417771659e-12,1.7973134617093485e-12,1.8218222816415342e-12,1.846331101573724e-12,1.8708399215059197e-12,1.8953487414381185e-12,1.9198575613703226e-12,1.9443663813025315e-12,1.968875201234746e-12,1.9933840211669666e-12,2.017892841099192e-12,2.042401661031424e-12,2.066910480963662e-12,2.0914193008959065e-12,2.1159281208281578e-12,2.1404369407604168e-12,2.164945760692682e-12,2.1894545806249545e-12,2.2139634005572357e-12,2.2384722204895238e-12,2.2629810404218203e-12,2.2874898603541258e-12,2.3119986802864397e-12,2.336507500218762e-12,2.3610163201510845e-12,2.385525140083407e-12,2.4100339600157297e-12,2.434542779948052e-12,2.4590515998803753e-12
PD22,baseline,srilanka,Forests & Wetlands,Avoided Coastal Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Forests & Wetlands,Avoided Forest Conversion,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Forests & Wetlands,Avoided Peat Impacts,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Agriculture,Biochar,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Forests & Wetlands,Coastal Restoration,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Agriculture,Cropland Soil Health,Emissions,CO2,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Forests & Wetlands,Improved Forest Mgmt,Emissions,CO2,MtCO2e,0.569307052157311,0.5834221030372444,0.5975371539171777,0.611652204797111,0.6257672556770445,0.6398823065569776,0.653997357436911,0.6681124083168443,0.6822274591967776,0.6963425100767111,0.7104575609566444,0.7245726118365775,0.738687662716511,0.7528027135964442,0.7669177644763777,0.7810328153563111,0.7951478662362443,0.8092629171161777,0.8233779679961111,0.8374930188760442,0.8516080697559777,0.8657231206359108,0.8798381715158443,0.8939532223957777,0.9080682732757108,0.9221833241556444,0.9353877265917945,0.948622483976072,0.9618875963084763,0.9751830635890081,0.9885088858176667,1.0018650629944528,1.0127928443209226,1.021313478260767,1.027450236940884,1.0312284161513816,1.0326753353455755,1.0318203376399908,1.0286947898143601,1.0233320823116254,1.0157676292379372,1.0060388683626544,0.9941852611183444,0.9802482926007834,0.9642714715689562,0.9463003304450565,0.9263824253144856,0.9045673359258544,0.880906665690982,0.8554540416848964,0.8282651146458334,0.7993975589752386,0.7689110727377646,0.7368673776612742,0.7033302191368379,0.6683653662187352,0.6320406116244537,0.5943954167865639,0.5555016217489714,0.515433090218789,0.4742657095663396
PD22,baseline,srilanka,Agriculture,Improved Rice,Emissions,CH4,MtCO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PD22,baseline,srilanka,Forests & Wetlands,Natural Regeneration,Emissions,CO2,MtCO2e,5.806980361111111e-12,5.983277984444446e-12,6.1612427311111115e-12,6.340874601111111e-12,6.522173594444445e-12,6.705139711111112e-12,6.889772951111112e-12,7.076073314444445e-12,7.264040801111112e-12,7.453675411111113e-12,7.644977144444445e-12,7.83794600111111e-12,8.032581981111112e-12,8.228885084444443e-12,8.426855311111111e-12,8.62649266111111e-12,8.827797134444442e-12,9.030768731111112e-12,9.235407451111112e-12,9.441713294444445e-12,9.64968626111111e-12,9.859326351111111e-12,1.0070633564444445e-11,1.0283607901110908e-11,1.0498249361110701e-11,1.071455794444383e-11,1.0932533651110288e-11,1.1152176481110085e-11,1.1373486434443216e-11,1.1596463511109677e-11,1.1821107711109476e-11,1.2047419034442608e-11,1.2275397481109073e-11,1.2505043051108878e-11,1.2736355744442014e-11,1.2969335561108486e-11,1.320398250110829e-11,1.3440296564441429e-11,1.367827775110791e-11,1.3917926061107723e-11,1.4159241494440867e-11,1.440222405110735e-11,1.464687373110717e-11,1.4893190534440327e-11,1.514117446110682e-11,1.5390825511106644e-11,1.5642143684439812e-11,1.5895128981106313e-11,1.614978140110615e-11,1.6406100944439318e-11,1.6664087611105835e-11,1.6923741401105685e-11,1.7185062314438868e-11,1.7448050351105387e-11,1.771270551110525e-11,1.7979027794438435e-11,1.824701720110495e-11,1.8516673731104806e-11,1.878799738443799e-11,1.9060988161104502e-11,1.933564606110435e-11
