model,scenario,region,variable,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
PD22,historical,world,Concentration|CO2,PPM,353.98583333333335,355.3866666666667,356.17,356.83916666666664,358.7075,360.7241666666667,362.50666666666666,363.64166666666665,366.5183333333334,368.21,369.38166666666666,370.9308333333333,373.0158333333333,375.5675,377.3041666666666,379.5591666666666,381.76666666666665,383.5566666666667,385.4166666666667,387.33833333333337,389.9091666666666,391.6891666666666,393.94416666666666,396.645,398.6991666666667,400.8616666666667,404.2066666666667,406.51,408.5225,411.4191666666666,413.9433333333333,416.1075,417.5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Concentration|CH4,PPM,1714.5166666666669,1725.0666666666666,1735.5,1736.5666666666666,1742.125,1748.8333333333333,1751.4916666666668,1754.6333333333332,1765.6666666666667,1772.4416666666666,1773.35,1771.275,1772.7416666666668,1777.325,1777.0083333333332,1774.1666666666667,1775.0083333333332,1781.4583333333333,1787.0916666666665,1793.5666666666666,1798.9416666666666,1803.175,1808.1,1813.4583333333333,1822.7416666666668,1834.35,1843.225,1849.725,1857.425,1866.675,1879.2833333333333,1895.7916666666667,1908.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Concentration|N2O,PPM,308.78,309.57,310.0,310.25,310.98,311.78,312.81,313.53,314.2,315.15,316.14,316.3666666666667,316.93333333333334,317.625,318.2583333333333,318.93333333333334,319.8333333333333,320.46666666666664,321.51666666666665,322.26666666666665,323.19166666666666,324.225,325.06666666666666,325.95,327.09166666666664,328.175,328.9583333333333,329.75,330.925,331.875,333.03333333333336,334.325,335.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Radiative forcing,W/m2,1.48920629327043,0.602592938596808,0.050660377916966,0.835134354779409,1.42788735055137,1.6601415266069,1.76736443409432,1.83892962795489,1.91567034664513,1.98547811716526,2.03778055501043,2.06484958906763,2.08934573079374,2.11539108706765,2.14295993888862,2.12386094123076,2.04967892808329,2.02521453148087,2.069290273384,2.11402636902778,2.15948900943732,2.20815733587996,2.2551476276713,2.30032333815626,2.34367678388143,2.38582734893548,2.42657923078704,2.4660573062258,2.50438590907997,2.54167717760516,2.57803030811743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,historical,world,Temperature change,F,0.603,0.618,0.633,0.647,0.659,0.671,0.683,0.695,0.708,0.722,0.735,0.749,0.763,0.777,0.792,0.808,0.825,0.841,0.859,0.876,0.892,0.909,0.927,0.946,0.966,0.987,1.009,1.033,1.056,1.079,1.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD22,pathway,world,Concentration|CO2,PPM,281.1604960658557,283.45922610100615,285.4607856703433,287.31355369932913,289.08375347205987,290.80242178390574,292.448058559026,294.1553356635772,295.70936464895703,297.23346274609196,298.7545845930407,300.1552695558629,301.6138074352263,303.07935529084637,304.64070675837854,306.19383662664956,307.81067346199296,309.3946779352278,310.9558175095435,312.48329045999753,314.07574072548744,315.6285811603218,317.1689372637987,318.737781060409,320.31564430630914,321.8731253729022,323.3140681943634,324.7737563446509,326.2892404678996,327.79706309178073,329.1073839619945,-13335.178884454384,-24699.12570750867,-35087.36732545776,-45043.37736319198,-54797.00853420657,-64451.494887324356,-74058.23392740346,-83646.85671491796,-93237.33611020222,-102844.92353773101,-112481.95521923034,-122159.31608085088,-131886.54007840613,-141672.06228316578,-151523.37679491952,-161447.15086294225,-171449.31632452807,-181535.14890312788,-191709.3359995456,-201976.03530293558,-212338.92450741935,-222801.25747060965,-233365.91133446823,-244035.43302125204,-254812.05110946996,-265697.7256006806,-276694.1859739636,-287802.94149567286,-299025.3064971629,-310362.41853279027,-321815.25791629864,-333384.66479288647,-345071.35343938944,-356875.9256822869,-368798.88287699,-380840.63655977265,-393001.51807390095,-405281.7871476627,-417681.6396258938,-430201.21440274734,-442840.5996231216,-455599.83824615885,-468478.93306700914,-481477.85118205904,-494596.5280057509,-507834.8708688383,-521192.76224171335,-534670.0626451373,-548266.6132196789,-561982.2380575265,-575816.746271124,-589769.9338490159,-603841.5853380271,-618031.475326741,-632339.369782536,-646765.0272411641,-661308.1998584724,-675968.6344188404,-690746.0731553138,-705640.254554926,-720650.9140121414,-735777.7844404634,-751020.5968263097,-766379.0806398526,-781852.9644384789,-797441.9761595086,-813145.8434879897,-828964.2941638527,-844897.0559607772,-860943.8575875288,-877104.4284795048,-893378.4990171314,-909765.8007478532,-926266.0664900818,-942879.0304260658,-959604.4283148593,-976441.9975178927,-993391.4771169961,-1010452.6079856788,-1027625.1328634438
PD22,pathway,world,Concentration|CH4,PPM,722.0,758.2285266946045,792.331189950335,823.4202163522599,851.4323960743799,877.0765818480088,901.1366394970019,925.2236281627348,947.1430380063534,964.2483346095587,978.0083640863965,989.4754435756499,1000.407227238931,1012.4012748826893,1026.6978229811239,1042.0638166717874,1057.5246415980107,1072.3632682814632,1085.3287592117329,1097.5001600311423,1109.4299276961317,1121.6610143350463,1134.0837776651435,1145.6778611595973,1156.7603901882699,1167.7131376256505,1176.4929968504027,1183.3832957136533,1190.4059953041951,1197.8746069078663,1202.213023365455,1203.5690930405335,1205.815324423621,1209.242531046232,1213.7625691543767,1219.2874151111514,1225.4457871400887,1231.8794698741258,1238.5217007676836,1245.278267000248,1251.991567364129,1258.4242227994278,1264.1439133337155,1268.4661451191353,1270.4828234929996,1269.0627737164698,1263.008130634696,1251.2290760652802,1232.7481135463129,1206.8700798567497,1173.5511327694999,1134.057177486848,1090.8506601194042,1046.5255291847632,1002.8125704407593,961.0425448891043,922.3862395266057,887.1814761952411,855.4023210952936,826.8746421632599,801.2873257695123,778.2510653500093,757.4121272196301,738.5581524971207,721.5286824831621,706.1808533680739,692.3593010561563,679.921311870903,668.7339255002136,658.6754903882132,649.6334249965709,641.5048225291151,634.1971063457123,627.6269166294187,621.7193148165243,616.406945371916,611.6292791025603,607.3319307251388,603.4660439725367,599.9877379280388,596.8576184784731,594.0404850196295,591.5047223132993,589.2217852357471,587.16606982915,585.3146120994321,583.6468220802686,582.1442496756581,580.7903663922244,579.5703679207081,578.471035673615,577.480533599233,576.5882187818193,575.7845640611354,575.0610689680223,574.4100843996847,573.8246925685532,573.2986817085975,572.826467204427,572.4030179883068,572.0237947921632,571.6846954039306,571.3820096692278,571.1123760697106,570.8727400977077,570.6603213926707,570.4725848889258,570.3072155140915,570.1620960212426,570.0352875799276,569.9250127904903
PD22,pathway,world,Concentration|N2O,PPM,273.0,270.75557496572253,268.5297351504366,266.3222774991816,264.1330129168591,261.9618297019612,259.80855421796156,257.67300038585034,255.55504206595015,253.45451754002312,251.37124817698603,249.30512456008265,247.25606005993333,245.22391764547115,243.20858102857983,241.20989276390117,239.22767396178025,237.26183304574587,235.3121932451127,233.37857940071643,231.46093118082302,229.55914184290245,227.67304714092336,225.802475686511,223.94731098054746,222.10745587470032,220.2827731732286,218.47315489074705,216.67844823115573,214.89851338782705,213.13323019727142,211.38246051899384,209.64610280074564,207.92404485202988,206.21617000746747,204.5223625419086,202.8425042262361,201.17647760839378,199.52416937057197,197.8854665458811,196.2602556771728,194.64841997280755,193.04984081057307,191.46439966927827,189.8919759447274,188.33244696233973,186.78568945420392,185.25158237702718,183.73000650146014,182.22084468708562,180.7239893199205,179.23935512807532,177.7668656318821,176.30643810537606,174.85798533624367,173.42142543460074,171.9966843004427,170.58367647885675,169.18230707001408,167.7924812188948,166.41410447099835,165.04707607683815,163.69129604815262,162.34667211990217,161.01311274745382,159.69052712002565,158.378825170008,157.0779175633368,155.78771573135396,154.50813178406642,153.23907844480226,151.98046946703425,150.73221926920527,149.49424260296433,148.26645492143516,147.04877237260806,145.84111179291463,144.64339070267852,143.45552730047055,142.2774404576296,141.10904971296716,139.9502752693203,138.80103798562973,137.6612593696458,136.53086157498407,135.4097673956373,134.29790026078928,133.1951842296645,132.1015439862886,131.01690483443636,129.94119269293586,128.87433409025,127.81625615903064,126.76688663154157,125.72615383492061,124.69398668601868,123.67031468642325,122.65506791791756,121.648177037756,120.64957327387889,119.65918842017182,118.67695483186276,117.70280542090421,116.73667365139313,115.77849353502839,114.82819962660535,113.88572701954746,112.95101134147433,112.02398874980632,111.10459592740511,110.19277007824999
PD22,pathway,world,Concentration|CF4,PPM,34.497,34.49631075883279,34.49562160827855,34.49493273147515,34.49424390863114,34.493554884359654,34.49286585966677,34.492176882002916,34.4914879193814,34.49079898119761,34.490110069773635,34.48942112647645,34.48873219259639,34.48804328299332,34.48735437817012,34.486665461798665,34.48597635983605,34.48528717240773,34.48459799468159,34.483908713599696,34.483219387827,34.48253008071963,34.48184077822529,34.48115147665568,34.48046220693223,34.47977297967056,34.479083779986595,34.47839461118419,34.47770546779074,34.477016339340516,34.47632721417435,34.47563808898894,34.47494897555267,34.47425987844049,34.47357079764118,34.472881733113454,34.472192684137795,34.47150364984018,34.47081462978928,34.470125623256024,34.46943662900057,34.468747645252144,34.468058669393365,34.46736969769822,34.466680725446544,34.46599174706504,34.4653027567323,34.46461374860958,34.46392471695376,34.463235656833525,34.462546565433655,34.461857444466226,34.46116829899971,34.46047913604511,34.459789961766546,34.45910078391252,34.458411613040106,34.45772245434157,34.45703330863589,34.45634417638282,34.45565505776668,34.454965952826925,34.454276861577895,34.45358778403017,34.4528987201904,34.45220967006406,34.45152063365429,34.45083161096405,34.45014260199618,34.44945360675347,34.448764625238795,34.448075657455014,34.44738670340495,34.44669776309135,34.44600883651688,34.4453199236841,34.44463102459548,34.44394213925335,34.443253267659934,34.4425644098173,34.4418755657274,34.44118673539204,34.440497918812845,34.439809115991345,34.439120326928915,34.43843155162679,34.437742790086084,34.43705404230779,34.43636530829279,34.43567658804187,34.4349878815557,34.43429918883487,34.4336105098799,34.43292184469187,34.43223319327351,34.43154455562656,34.43085593175073,34.43016732164576,34.429478725311384,34.42879014274732,34.4281015739533,34.42741301892905,34.42672447767431,34.426035950188805,34.425347436472265,34.42465893652443,34.42397045034502,34.42328197793377,34.42259351929041,34.421905074414674,34.421216643306295
PD22,pathway,world,Concentration|C2F6,PPM,0.0,1.0203510601841255e-07,1.8835130112031857e-07,2.701150862494664e-07,3.573879715534557e-07,4.49621674762097e-07,5.478040292162858e-07,6.529639722904671e-07,7.614778489982122e-07,8.720693429513767e-07,9.801268443972855e-07,1.0747581531545316e-06,1.1676491026754716e-06,1.2649059783713253e-06,1.3674984996770425e-06,1.4750395661574192e-06,1.5808946316543462e-06,1.684193281860866e-06,1.769305441004725e-06,1.8314590705888782e-06,1.8889714373775866e-06,1.9487446583261565e-06,2.004248540873278e-06,2.0544090220687567e-06,2.103043286929595e-06,2.1512109099225573e-06,2.1988345369105756e-06,2.2458347488126002e-06,2.290498155043721e-06,2.3349165403296404e-06,2.378019997634588e-06,2.4195238549821845e-06,2.4607391043365224e-06,2.5019487282928022e-06,2.543147215144599e-06,2.5843266098016848e-06,2.625519231874231e-06,2.6667387882415784e-06,2.707930930976568e-06,2.7490114441260964e-06,2.7898422821903535e-06,2.8302322340321697e-06,2.86989115428215e-06,2.9083785931652207e-06,2.9451057283272397e-06,2.9793821032715556e-06,3.010589508450493e-06,3.038120421147387e-06,3.0612876015839124e-06,3.0794878390190065e-06,3.0926957512907593e-06,3.101886552291917e-06,3.1080240775760977e-06,3.1117279599729652e-06,3.1136727422935617e-06,3.114517567157153e-06,3.11487689773873e-06,3.1150228150257105e-06,3.1150261027594454e-06,3.114966429052833e-06,3.114889433622443e-06,3.114797720692747e-06,3.1146930371943975e-06,3.1145764249884064e-06,3.114448347797437e-06,3.1143092185006085e-06,3.1141594285663215e-06,3.1139993748286606e-06,3.1138294703184447e-06,3.113650148205167e-06,3.113461907175237e-06,3.113265288891687e-06,3.1130608137125567e-06,3.112848992449699e-06,3.112630319507213e-06,3.1124052647904046e-06,3.112174282497233e-06,3.1119378108746576e-06,3.111696269423583e-06,3.1114500568039773e-06,3.1111995494018603e-06,3.110945100492314e-06,3.1106870399185325e-06,3.11042567420228e-06,3.1101612870028936e-06,3.1098941398477543e-06,3.1096244730652334e-06,3.1093525068602442e-06,3.1090784424817893e-06,3.108802463440797e-06,3.1085247367446634e-06,3.1082454141221713e-06,3.1079646332187036e-06,3.1076826379705963e-06,3.1073999673354645e-06,3.1071169812528257e-06,3.106833678939218e-06,3.106550060136348e-06,3.106266125052748e-06,3.105981874310029e-06,3.105697308893432e-06,3.1054124301064203e-06,3.105127239529046e-06,3.1048417389798468e-06,3.104555930481049e-06,3.1042698162268615e-06,3.1039833985546545e-06,3.1036966799188338e-06,3.103409662867232e-06,3.1031223500198434e-06,3.1028347440497386e-06
