Vertical,Subvertical,Region,Growth Rate,Analog Name
Forests & Wetlands,Avoided Coastal Impacts,All,Linear,US Wetlands 2002-2014
Forests & Wetlands,Avoided Forest Conversion,All,Linear,Avoided Forest Conversion|90 percentile across countries
Forests & Wetlands,Avoided Peat Impacts,All,Linear,Certification Adoption
Agriculture,Biochar,All,S-curve,FAO CA
Forests & Wetlands,Coastal Restoration,All,Linear,US Wetlands 2002-2014
Agriculture,Cropland Soil Health,All,S-curve,FAO CA
Forests & Wetlands,Improved Forest Management,All,S-curve,Certification Adoption
Agriculture,Improved Rice,All,S-curve,FAO CA
Forests & Wetlands,Natural Regeneration,All,S-curve,Spanish Reforestation
Agriculture,Nitrogen Fertilizer Management,All,S-curve,FAO CA
Agriculture,Optimal Intensity,All,S-curve,FAO CA
Forests & Wetlands,Peat Restoration,All,S-curve,Certification Adoption
Agriculture,Silvopasture,All,S-curve,FAO CA
Agriculture,Trees in Croplands,All,S-curve,FAO CA
Agriculture,Agroforestry,All,S-curve,FAO CA
