Region,Sector,Metric,Unit,Scenario,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
ASIA ,All,GDP | MER,billion US $2005/yr,pathway,5362,7271,13066,21340,32389,46308,63614,85030,111569,142255,172200
LAM ,All,GDP | MER,billion US $2005/yr,pathway,2649,3083,4070,5291,6726,8606,11068,14819,20313,27269,34379
MAF ,All,GDP | MER,billion US $2005/yr,pathway,1714,2113,3046,4167,5501,7231,9560,12736,16793,21717,27492
OECD90 ,All,GDP | MER,billion US $2005/yr,pathway,30453,31258,37115,43363,50175,58226,67181,77554,89232,102743,119856
REF ,All,GDP | MER,billion US $2005/yr,pathway,1154,1324,1833,2400,3123,4087,5178,6501,8063,10041,12796
World ,All,GDP | MER,billion US $2005/yr,pathway,41332,45049,59132,76562,97915,124459,156601,196639,245969,304024,366724
ASIA ,All,Population ,million,pathway,3445,3688,4054,4327,4498,4584,4593,4532,4410,4239,4043
LAM ,All,Population,million,pathway,550,584,655,717,770,815,851,882,908,923,926
MAF ,All,Population,million,pathway,1108,1243,1479,1697,1890,2048,2200,2303,2357,2366,2335
OECD90 ,All,Population,million,pathway,958,994,1033,1065,1088,1103,1114,1116,1115,1117,1131
REF ,All,Population,million,pathway,403,402,400,397,393,387,375,361,346,336,334
World ,All,Population,million,pathway,6464,6911,7620,8203,8639,8937,9133,9194,9135,8981,8769
World ,All,Price | Carbon,US $2005/t CO2,pathway, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
ASIA ,All,GDP | MER,billion US $2005/yr,baseline,5362,7271,13066,21340,32389,46308,63614,85030,111569,142255,172200
LAM ,All,GDP | MER,billion US $2005/yr,baseline,2649,3083,4070,5291,6726,8606,11068,14819,20313,27269,34379
MAF ,All,GDP | MER,billion US $2005/yr,baseline,1714,2113,3046,4167,5501,7231,9560,12736,16793,21717,27492
OECD90 ,All,GDP | MER,billion US $2005/yr,baseline,30453,31258,37115,43363,50175,58226,67181,77554,89232,102743,119856
REF ,All,GDP | MER,billion US $2005/yr,baseline,1154,1324,1833,2400,3123,4087,5178,6501,8063,10041,12796
World ,All,GDP | MER,billion US $2005/yr,baseline,41332,45049,59132,76562,97915,124459,156601,196639,245969,304024,366724
ASIA ,All,Population,million,baseline,3445,3688,4054,4327,4498,4584,4593,4532,4410,4239,4043
LAM ,All,Population,million,baseline,550,584,655,717,770,815,851,882,908,923,926
MAF ,All,Population,million,baseline,1108,1243,1479,1697,1890,2048,2200,2303,2357,2366,2335
OECD90 ,All,Population,million,baseline,958,994,1033,1065,1088,1103,1114,1116,1115,1117,1131
REF ,All,Population,million,baseline,403,402,400,397,393,387,375,361,346,336,334
World ,All,Population,million,baseline,6464,6911,7620,8203,8639,8937,9133,9194,9135,8981,8769
World ,All,Price | Carbon,US $2005/t CO2,baseline, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
